date,pair,signal,z_score,beta,S,R,delta,quality,days_held,phase,symbol_x,symbol_y,initial_beta,pvalue_1y,pvalue_5y
2024-11-08,I-SM,hold,1.0859327006928308,4.0,9236044.45636454,9117071.2172102,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-11,I-SM,hold,1.0625243447147563,4.0,9239442.802875862,9102025.022479847,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-12,I-SM,hold,1.067784363814267,4.0,9224648.295362918,9092301.468104253,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-13,I-SM,hold,1.0901787265031813,4.0,9212664.719212025,9105170.372758448,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-14,I-SM,hold,1.07255162871001,4.0,9222659.443807801,9099941.745524537,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-15,I-SM,hold,1.0731309747043487,4.0,9210458.534535494,9094894.946339004,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-18,I-SM,hold,1.0518104169845353,4.0,9211896.667146433,9068950.856029034,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-19,I-SM,hold,1.0472700864988096,4.0,9189226.526365625,9038817.84327263,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-20,I-SM,hold,1.0709117527158045,4.0,9157727.36944613,9032119.219722748,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-21,I-SM,hold,1.0732584397013907,4.0,9151229.41278851,9027790.808226978,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-22,I-SM,hold,1.083844862841594,4.0,9143226.409292132,9033900.490947636,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-25,I-SM,hold,1.0739098838388226,4.0,9151822.754581364,9030152.921159877,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-26,I-SM,hold,1.082540491264217,4.0,9147506.845836323,9035059.034108864,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-27,I-SM,hold,1.0801120372471258,4.0,9153796.083091022,9037594.849602608,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
2024-11-28,I-SM,hold,1.09277460011119,4.0,9153802.234395036,9052823.772031989,0.995,bad,0,trading,I,SM,5.968312,0.003942862724876112,0.0008875721164124385
